mun_code,Descripción general_Descripción general_Población total_2022,Descripción general_Descripción general_Densidad poblacional_2022,Demografía y población_Población desagregada por área_Población rural_2022,Economía_Valor agregado municipal_Valor agregado per cápita_2020,Economía_Valor agregado municipal_Valor agregado_2020
23660,0.01401956045244036,0.0063880748357936805,0.3106641797096748,0.035564640306360785,0.003989566184294672
23670,0.006029972914485642,0.01275568782497391,0.20950450085151245,0.012187580278540753,0.0008394291573760929
23672,0.00435995900529749,0.009844990144210548,0.10384126726678021,0.015393556603615952,0.000685444700481625
23675,0.004621080628357605,0.006709780535327378,0.15399670207877167,0.013177707657059043,0.0006646140253406233
23678,0.0033740761541025143,0.0031102006852445074,0.12443435244505718,0.029168468425155365,0.0008165453561431651
23682,0.001633180951209241,0.0015227024188176235,0.04635471575703512,0.03267852251099584,0.0004245265929659986
23686,0.006666132525489103,0.00648867891497648,0.2410888546481767,0.012160482601516705,0.0009300661196425868
23807,0.012087792051498297,0.0011458634103532397,0.284913361987403,0.04879315679755884,0.004413707816118434
23815,0.006919912871701187,0.03138108370486742,0.2600113534993107,0.005948222891536806,0.0007017841622965379
23855,0.004527036340459561,0.0021501990482967782,0.10748519990268429,0.03065424437457901,0.0011428640843786915
25001,0.0015311625177693705,0.008618984501287959,0.013126807774443815,0.036917935045165946,0.00041379045444363423
25019,0.0007919718834159669,0.007895430869651216,0.026102235558078557,0.09926562329473462,0.0005409131783020674
25035,0.00203872321019354,0.007516318322674227,0.04942016057091883,0.17360251348693967,0.0022568560830896704
25040,0.0018369646706114637,0.007267365855543909,0.05365880031357284,0.052200566913364735,0.0006713722320598805
25053,0.0013458585642259831,0.00410771570765023,0.032579136593409566,0.10479693730698741,0.000938962999374267
25086,0.00011416951236074832,0.00052859770418081,0.006920228151271864,0.05831103514589815,5.1413699218652925e-05
25095,0.0002068214891324421,0.00255034182651537,0.010223555807855542,0.10891625874126139,0.00018922978813920178
25099,0.001364211756346059,0.006364202681411322,0.010110020814748736,0.07349018710472838,0.000681766182900257
25120,0.0005454062403131535,0.0006712622458468136,0.019901062363149785,0.2419766346155341,0.0009446090961270642
25123,0.0013110507860672183,0.011633696569003031,0.03620684994458411,0.10093329743613033,0.0008837852356537494
25126,0.012480170641651646,0.10692622140172742,0.155797042683751,0.09274598069091321,0.0074776563206363595
25148,0.0016215361672433997,0.0012191850273847713,0.051577325439948106,0.058069892857365885,0.0006518675341865812
25151,0.0022956678998746036,0.010309928770038399,0.05108534046981862,0.07305701603269153,0.001129133803638935
25154,0.0009360127981238735,0.0016244432672567256,0.02896223609872138,0.045545623527969974,0.0003015528947516665
25168,0.0004506025099825544,0.0015766989584920072,0.017008623253047875,0.060510808123811294,0.00019346436070379966
25175,0.020165095190413103,0.11996951184854593,0.13613386316330117,0.10242614714282232,0.013183764238162114
25178,0.0012234617588458903,0.004699972490183998,0.03739626415808397,0.029249709037589403,0.00026853178343985284
25181,0.0014230685448690613,0.0033460803059273416,0.036628551347552246,0.061845485969462474,0.0006064848928629615
25183,0.002882337179023238,0.004480576023717554,0.05317222177168654,0.06759308480028352,0.0013187913263806215
25200,0.00317497566303438,0.011267656868473523,0.08312924066715324,0.14031869778794132,0.002828865566992371
25214,0.004880556792813851,0.04335524266613314,0.06722352877571432,0.433194507306385,0.012707481758295475
25224,0.0009790478693019824,0.0045595814870306,0.03691509204444084,0.09479976500283117,0.0006309085386648342
25245,0.003411415407036462,0.013980556698640196,0.07806341740329252,0.06883823712980455,0.0015837301391596033
25258,0.0005083201348567242,0.0021791866643325,0.021468926553672316,0.07225064632836015,0.00026083256059512936
25260,0.0032209219302039493,0.017143617154302782,0.011250777174059957,0.0484238592154895,0.0011038546886320932
25269,0.02103516307064346,0.05941892902694825,0.05807044576000866,0.0861493654553497,0.011782676774263449
25279,0.0015960948457528117,0.0016164858824626058,0.036347417078906825,0.11352638416072965,0.0011921391105849215
25281,0.0006778023710552187,0.0031840906869041903,0.023534182142567514,0.09457429864596767,0.0004466404719144541
25286,0.014125629245520523,0.09022139718035752,0.008715162328008003,0.13223632867395968,0.011676042537864029
25288,0.0005655314647758575,0.0036348196970282577,0.026194144838212634,0.1745701725818412,0.0007016130684555441
25290,0.020785939379026706,0.045603772255100115,0.11574622225826509,0.054300424449300375,0.00783780885592842
25293,0.0004561717544879567,0.0005928251671619192,0.014305409131457303,0.05878736606922437,0.0001898713900429287
25295,0.002488945998959817,0.026832301525771696,0.030394939583164388,0.06180890879556869,0.0010535103259196516
25297,0.001017273138407244,0.0020092396605152292,0.02555618630551726,0.04051745671074709,0.00029488023495290617
25299,0.00029453709009252913,0.001815420502315599,0.011996864271618956,0.03183671780730619,5.7615850954680116e-05
